name,spot_category_id,detail,access,number,
サンシャイン水族館(東京都),4,目玉の「天空のペンギン」には何度行っても癒されることでしょう。泳いでいるペンギンを見たい！と思ったあなたは是非、訪れるべきです。イルカショーはないものの、綺麗な展示やエサやりなどのプログラムもあります。また館内のカフェでは、ペンギンやカワウソをモチーフにした軽食をいただくことができます。,池袋駅徒歩3分、,1,
鴨川シーワールド(千葉),4,鴨シーならではの、「シャチショー」は見応えがあります。生の迫力は、画面上のそれとは比較になりません。シャチが水をかけてくるため、濡れてもいい格好で行くことをお勧めします。閉館時間が早いので、お気をつけください。また館内のレストランでは、泳ぐシャチを見ながら食事を楽しむことができます。,海ほたるPAより1時間10分,2,
八景島シーパラダイス（神奈川）,4,遊園地エリアも併設された一日中楽しむことができるテーマパークです。チケットは遊園地付きでも、水族館のみでも購入できます。また、水族館では珍しい「ホッキョクグマ」や「レッサーパンダ」を見ることができます。レストランは和食から洋食まで幅広くお店があり、きっと食べたいものが見つかるでしょう。,八景島駅徒歩すぐ,3,
葛西臨海水族園（東京）,4,浦安近くの、ガラス張りの丸いドームが目印の水族館です。入館料もお手頃で、学生のデートスポットにも最適です。イルカやアシカがいないものの、ドーナツ型大水槽で群泳する「クロマグロ」は是非とも間近で楽しみたいものです。また、館内のレストランでは、マグロを堪能できる食事メニューが豊富です。,,4,
アクアワールド・大洗（茨城）,4,50種を越える「サメ」の数や「マンボウ」の水槽の大きさは日本一！さらに大水槽では迫力のある1.5万匹のイワシの大群をご覧いただけます。また、館内のフードコートでは地元の食材を活かしたメニューが揃い、魚介好きにはぴったりです。茨城県に観光の際は、是非立ち寄ってみてはいかがでしょうか。,大洗駅よりバス15分,5,
三鷹の森ジブリ美術館(東京),1,ジブリの映画を直近で体験できる美術館です。ジブリ映画の制作方法や、当時の映画のコマの書き方、書斎などが展示されています。また、ジブリの世界を同時に味わえる空間となっており、屋上には巨大なラピュタのロボット兵が展示されています。映画好きの方にも、ジブリ好きの方にもぴったりなスポットになっています。,,6,
彫刻の森美術館(神奈川),1,様々な芸術作品が屋外展示された美術館です。敷地面積は7万平方メートルと広く、ゆっくり回ると半日近くかかります。天気の良い日の方が濡れることなく見学できますが、美術館のある箱根付近は天気が崩れやすく、雨もよく降ります。多少の雨であれば、足を伸ばしてみるのも良いのではないでしょうか。,彫刻の森駅徒歩2分,7,
チームラボプラネッツ(東京),1,現実を忘れさせてくれる、幻想的な空間です。真っ暗な中で音と光のアートを同時に楽しむことができます。テーマに分けられた空間がいくつかあり、それぞれ演出の違いから、すぐに飽きることはないでしょう。この施設は、膝下まで水に浸かる演出もあるため、捲りやすいボトムスで行くことをおすすめします。,新豊洲駅,8,
根津美術館(東京),1,本格的な日本庭園を中心に見どころが満載です。 この美術館は現代日本建築の傑作で、大都会で自然を肌で、目で感じることができます。屋内展示は期間ごとに展示内容が変わり、何度行っても新しい発見があるでしょう。また、カフェも併設されており、庭園を見ながら、のんびり休憩できます。,表参道駅徒歩10分,9,
東京都庭園美術館 (東京),1,美術館の建物は、ヨーロッパを感じさせるものになっており、西洋にタイムスリップしたような感覚になります。屋内展示は期間限定で入れ替わっているため、公式HPで確認してから行くのが良いです。さらに、併設された広い庭園は、春には桜、秋には紅葉など四季を楽しめ、カフェでは庭園を見ながら、休むことができます。,目黒駅徒歩7分,10,
カップヌードルミュージアム(神奈川),2,カップヌードルの歴史や作り方を学んだり、体験できる空間です。オリジナルのカップヌードルの制作できたり、麺になりきって作られる工程をアトラクションとして楽しむこともできます。事前予約が必要なものもありますが、当日飛び込み参加できるものもあるので、是非一度足を運んでみてください。,みなとみらい駅徒歩8分,11,
横浜ランドマークタワー(神奈川),2,みなとみらいにあるショッピングモール複合施設です。レストラン、ショッピング、展望台、ホテルなどが一つのビルに併設されています。桜木町駅から屋根のついたブリッヂを通ることでほとんど濡れることなく、アクセスすることができます。雨の日に快適な空間でショッピングを楽しみたい人にはピッタリです。,みなとみらい駅徒歩3分,12,
三井アウトレットパーク木更津(千葉),2,たまには足を伸ばして、アウトレットモールに行くのはいかがですか？パーっと買い物したい方にはピッタリです。この施設はアウトレットモールの中でも比較的大きめで、300店舗ほど揃っています。さらにショッピングとレストラン、遊園地が併設されており、1日いても飽きることなく、楽しむことができます。,"東京湾アクアライン「木更津金田IC」から約1km,東京湾アクアライン連絡道「袖ヶ浦IC」から約4.5km",13,
大慶園遊園地(千葉),2,遊園地なのに24時間営業！実は普通の遊園地ではないようです。ゲームセンターやカラオケ、バッティングセンター、本格ゴーカート、ビリヤードやダーツなどゲーム要素強めのエンタメが揃っています。1人で行くと寂しいですが、友人とがっつり遊びたい、ゲームバトルしたい，なんて思っている方にはピッタリです。,市川インターより　約２５分,14,
那須テディベア・ミュージアム(栃木),2,英国風の建物で、世界のテディベアの作品を見ることができます。1階はテディベアの展示、2階はジブリのトトロのぬいぐるみたちの展示です。ショップやカフェも充実しており，クマのマフィンやカプチーノなどが楽しめます。さらに館内にはいくつか撮影スポットもあり、インスタ映えの写真が撮れること、間違いなしです。,那須ICから車で5分,15,
豊島園　庭の湯(東京),3,お風呂、マッサージ、お食事処を併設しており、日頃の疲れを癒すのに最適です。露天風呂では1200平米の日本庭園を眺めながら、入浴することができます。さらに水着で入れるゾーンではアロマの香りに包まれ、カップルでも楽しめるスポットです。ただ、中学生未満は入場不可のため、子供連れの方は注意してください。, 豊島駅徒歩2分,16,
前野原温泉　さやの湯処(東京),3,館内は都心では珍しい、和を感じさせる高級感のある施設で、都会からのアクセスは抜群ながら、静かでホッとできる空間です。この施設は、創業者の邸宅をリフォームして作られたため、昭和の雰囲気の名残が感じられます。レストランも併設されており、庭園を眺めながら、美味しい和食を楽しむこともできます。,志村坂上駅徒歩約8分,17,
スパラクーア(東京),3,温泉，サウナ、レストランを併設する、東京で人気のリラクゼーションスポットです。内装がオシャレで，バカンスに行ったような気分で、インスタ映え写真も撮れるので、女性に人気があります。また、アロマスチームサウナのロウリュウも本格的で、サウナ好きにはきっと気に入ってもらえるでしょう。,後楽園駅、水道橋駅、春日部駅徒歩　1-3分,18,
楽スパ鶴見(神奈川),3,遊べる要素の詰め込まれたお風呂。14種類のお風呂と、6種類の岩盤浴が楽しめます。またコミックも2万冊ほどあり、自由に読むことができます。そして何と言ってもレストランのメニューが豊富で、必ずと言っていいほど食べたいものが見つかる点は大きな魅力です。是非、友人や恋人と訪れてみてはいかがでしょうか。,川崎駅、武蔵小杉駅、鶴見駅より無料シャトルバス,19,
スパジアムジャポン(東京),3,都内からのアクセスは少し時間がかかるものの、コスパ神の温泉施設です。温泉や露天風呂、岩盤浴と全て揃っています。特にテント式のロウリュウは盛り上がるでしょう。温泉に入ってマンガを読みながら、ダラダラとゆっくりする休日を送りたい人にはピッタリです。レストランも併設されていますが、メニューが少なめです。,東久留米駅から西武バスで7分,20,
那須ステンドグラス美術館(栃木),5,この施設では1800年代にイギリスやドイツなどで作られたステンドグラスを楽しむことができます。丈夫な石造りの壁に色鮮やかなステンドグラスがなんとも美しい空間を作り出します。日帰りで旅行に行くような気分を手軽に味わえる、魅力的な施設です。また、実際にステンドグラスのストラップを作ることもできます。,東北自動車道 那須IC(約3時間) 那須IC〜那須ステンドグラス美術館,21,
東京サマーランド(東京),5,屋内プールと屋外プール、8本のスライダーと、関東最大級のプール施設です。プール施設の横には水着で遊ぶことが可能な遊園地も併設されており、1日中遊ぶことができます。屋台(レストラン)は洋食をメインに、軽食、デザート、主食など様々です。思いっきり遊びたい、夏を感じたい、そんなときにはピッタリです。,八王子駅バス30分,22,
コスモプラネタリウム渋谷(東京),5,プラネタリウムをリーズナブルに体験できる、学生向けのお出かけスポットです。館内にはレストランやカフェもあり、ゆっくり過ごすことも可能です。ただ、定休日が多いので気をつけてください。渋谷にはよく行くし、ショッピングも飽きてきたと思ったら、たまには新しい場所に行ってみるのも良いのではないでしょうか。,渋谷駅徒歩5分,23,